,source_url,test_name,grade,Logical Fallacy Types,sentence,canocalized_fallacy_types,fallacy_types
413,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,Logical Fallacies,10th grade,Bandwagon/ Ad Populum,"“It must be cool because everyone is doing it…"" said Kinza",ad populum,ad populum; bandwagon
415,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,Logical Fallacies,10th grade,Bandwagon/ Ad Populum,"""All my friends are doing a low carb diet. That must be the only way to lose weight."" Mentioned Murtaza",ad populum,ad populum; bandwagon
453,https://quizizz.com/admin/quiz/5f8d8a1cb5364c001cee0c2e/logical-fallacies,Logical Fallacies,10th - 12th grade,Ad Populum,"""everybody's doing it, so it must be a good thing to do.""",ad populum,ad populum
463,https://quizizz.com/admin/quiz/60242064a66179001be30a7b/logical-fallacies,Logical Fallacies,8th grade,bandwagon,"The new iPhone comes out this weekend! If you don't get it, you're not cool!",ad populum,bandwagon
1163,https://quizizz.com/admin/quiz/611c926f727f7f001f8dea1c/common-fallacies,common fallacies,11th grade,Appeal to popularity,"Since many people believe this, then it must be true",ad populum,appeal to popularity; bandwagon
515,https://quizizz.com/admin/quiz/5fc923a9981040001c28effd/logical-fallacies,Logical Fallacies,9th - 12th grade,Bandwagon,Stating that something should be done (or agreed to) because everyone else thinks this way.,ad populum,bandwagon
541,https://quizizz.com/admin/quiz/60a683b792ce65001b5816bf/logical-fallacies,Logical Fallacies,11th - 12th grade,Bandwagon,Marcus wants to go to a small community college close to home because all of his friends are there.,ad populum,bandwagon
609,https://quizizz.com/admin/quiz/5f918a04b5be2c001b528339/logical-fallacies-quiz,Logical Fallacies Quiz,9th - 12th grade,bandwagon,"Everyone already believes that the defendant killed her husband, and that many people can't be wrong.",ad populum,bandwagon
621,https://quizizz.com/admin/quiz/6060b5acc441bf001b548932/logical-fallacies,Logical Fallacies,9th - 12th grade,Ad Populum,"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?",ad populum,ad populum
625,https://quizizz.com/admin/quiz/6060b5acc441bf001b548932/logical-fallacies,Logical Fallacies,9th - 12th grade,Ad Populum,You should fly an American flag off your front porch. It’s the patriotic thing to do.,ad populum,ad populum
642,https://quizizz.com/admin/quiz/5fc513ccc22a8c001b2c995b/logical-fallacies-more,Logical Fallacies & More,9th - 12th grade,Bandwagon,Trying the latest social media challenge is a good example of what logical fallacy?,ad populum,bandwagon
823,https://quizizz.com/admin/quiz/58dbf9c6a4f008e15ac0d008/logical-fallacies-part-iv,Logical Fallacies: Part IV,7th - 12th grade,bandwagon,Everyone is doing it.  You should too.,ad populum,bandwagon
839,https://quizizz.com/admin/quiz/5e93c6c6faae28001d76da6d/rhetorical-devices-logical-fallacies,Rhetorical Devices & Logical Fallacies,8th grade,The Bandwagon Fallacy,"The phrase, ""Almost everyone that was asked said that McDonalds is better than Burger King, so it must be true,"" represents which fallacy?",ad populum,bandwagon
856,https://quizizz.com/admin/quiz/5e5163e21565f0001bf9ea42/rhetorical-appeals-logical-fallacies,Rhetorical Appeals & Logical Fallacies,7th grade,Bandwagon,Everyone is/is not doing it! It must/must not be a good thing!,ad populum,bandwagon
891,https://quizizz.com/admin/quiz/6008a28719b947001bd69514/logical-fallacies-and-evidence,Logical Fallacies and Evidence,9th - 11th grade,ad populum (bandwagon appeal),"X is popular; therefore, X is right.",ad populum,ad populum; bandwagon
912,https://quizizz.com/admin/quiz/5bda0decd6aa6b001d38528e/logical-fallacies,Logical Fallacies 1-5,12th grade,Appeal to common belief,"""Historically, up until the late 16th century, most people believed that the Earth was the center of the universe. Today we understand this is not true,"" is an example of what fallacy?",ad populum,appeal to common belief
917,https://quizizz.com/admin/quiz/5bda0decd6aa6b001d38528e/logical-fallacies,Logical Fallacies 1-5,12th grade,Appeal to common belief,"""How could you not believe in ghosts? Roughly two billon people believe in them, so don't you think you should reconsider your opinion?""",ad populum,appeal to common belief
985,https://quizizz.com/admin/quiz/58dbe529d254f4305bd727c5/logical-fallacies-part-i,Logical Fallacies: Part I,7th - 12th grade,bandwagon,Everyone does it.  You should too.,ad populum,bandwagon
996,https://quizizz.com/admin/quiz/58dbe529d254f4305bd727c5/logical-fallacies-part-i,Logical Fallacies: Part I,7th - 12th grade,bandwagon,Over 99 billion people served…,ad populum,bandwagon
1022,https://quizizz.com/admin/quiz/58dbecb6ccd756db5a98f8b2/logical-fallacies-part-ii,Logical Fallacies: Part II,7th - 12th grade,bandwagon,Everybody does it.  You should too.,ad populum,bandwagon
45914,https://quizizz.com/admin/quiz/5ba47346e4fc100019e0c6da/logical-fallacy-examples,Logical Fallacy examples,9th - 12th grade,Is this BANDWAGON FALLACY (the assumption that the popular choice is automatically correct) ?,"All the popular guys at school are dyeing their hair purple, so you should, too!",ad populum,bandwagon
1053,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,Logical Fallacies,7th - 8th grade,Is this using bandwagon fallacy: the assumption that the popular choice is automatically correct ?,"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!",ad populum,bandwagon
1054,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,Logical Fallacies,7th - 8th grade,bandwagon fallacy: the assumption that the popular choice is automatically correct,"In this election, we've seen the highest voter turnout ever recorded. If you have any doubts about Tyler Espinoza's qualifications, just look at how many people have come out to vote for him.",ad populum,bandwagon
1077,https://quizizz.com/admin/quiz/611c9107f90b18001fce0b1d/logical-fallacies,Logical Fallacies,10th grade,Ad Populum,Over 5 million Filipinos use our products. It’s time to switch to our brand now!,ad populum,ad populum
1106,https://quizizz.com/admin/quiz/60548cc5a25098001b13f9f8/logical-fallacies,Logical Fallacies,9th - 12th grade,bandwagon,"This fallacy assumes something is true (or right, or good) because other people agree with it.",ad populum,bandwagon
1147,https://quizizz.com/admin/quiz/5f866cd09b8715001bf9a88c/identify-logical-fallacies,Identify logical fallacies,University,bandwagon,"“Don’t worry about eating fast food. After all, millions of Americans eat it every day.”",ad populum,bandwagon
1151,https://quizizz.com/admin/quiz/603c4135fe49e5001bc1c557/activity-march-logical-fallacies,Activity (March 1): Logical Fallacies,11th grade,bandwagon,"Company R.E. are working on advertisement for a new juice drink. Some of their marketing employees went to a school to do a survey on students’ beverage preference. The majority said they preferred orange-flavored drinks, so Jeff told his superiors that orange was the flavor favored most by high school students.",ad populum,bandwagon
1167,https://quizizz.com/admin/quiz/611c926f727f7f001f8dea1c/common-fallacies,common fallacies,11th grade,Appeal to popularity,This is an example of which fallacy?,ad populum,appeal to popularity
1323,https://quizizz.com/admin/quiz/5c890a34b355a3001d6addb9/logical-fallacies,Logical Fallacies,10th grade,Bandwagon,Katie likes to read and would rather do that than play sports. Her friends make fun of her and tell her that reading is for nerds. Katie stops reading so much and starts to play sports more.,ad populum,bandwagon
39772,https://quizizz.com/admin/quiz/5a53c4c5fdbc001000361f4b/persuasive-techniques-and-rhetorical-fallacies,Persuasive Techniques and Rhetorical Fallacies,7th grade,Bandwagon,"Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that this must be the healthy way to eat, so she joins them.",ad populum,bandwagon
1403,https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies,Logical Fallacies,10th - 12th grade,Bandwagon fallacy: the assumption that the popular choice is automatically correct,"According to the university brochure, the majors with the most students are Economics and Computer Science. Therefore, you should declare one of these majors if you want to have a successful career.",ad populum,bandwagon
1405,https://quizizz.com/admin/quiz/60241e5e579e66001c40dfbd/logical-fallacies,logical fallacies,8th grade,bandwagon,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you?,ad populum,bandwagon
1422,https://quizizz.com/admin/quiz/5e263688c11931001b7ac19a/logical-fallacies,Logical fallacies,7th - 8th grade,bandwagon,Believing that taco bell is healthy for you because everyone else does.,ad populum,bandwagon
1423,https://quizizz.com/admin/quiz/5e263688c11931001b7ac19a/logical-fallacies,Logical fallacies,7th - 8th grade,bandwagon,Going to prom (when you don't want to) because 90 percent of your classmates are going,ad populum,bandwagon
1470,https://quizizz.com/admin/quiz/5e32e7cf3c268f001c0dda1d/logical-fallacies,Logical Fallacies,10th grade,Bandwagon,I guess that I should by my 12 year old an iPhone since everyone else has one.,ad populum,bandwagon
1486,https://quizizz.com/admin/quiz/6030549c418d3e001bcbfb14/logical-fallacies-the-snap-decision-the-people,"Logical Fallacies: The Snap Decision & The ""People""",9th - 12th grade,Bandwagon,Fortnite is the best game ever. Everyone is playing it!,ad populum,bandwagon
40666,https://quizizz.com/admin/quiz/5a21a893fd37051100831ca4/friday,Friday,7th - 8th grade,Bandwagon,Royal's promoting their team for the next season by telling people to come join the team because everyone else has.,ad populum,bandwagon
1569,https://quizizz.com/admin/quiz/5da9c616b36650001b516bbf/logical-fallacies,Logical Fallacies,9th - 12th grade,bandwagon,Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that if this many friends are eating this way that this must be the healthy way to eat so she joins them. This is an example of which logical fallacy?,ad populum,bandwagon
1602,https://quizizz.com/admin/quiz/5fe94858a0463a001b61cfcc/logical-fallacies,Logical Fallacies,9th - 12th grade,Bandwagon,"“This is how most schools evaluate their students, so it must be effective.”",ad populum,bandwagon
1626,https://quizizz.com/admin/quiz/5ff73aed3ccf10001d447572/logical-fallacies,Logical Fallacies,8th - 12th grade,Bandwagon,Justifies a claim because a large group favors it,ad populum,bandwagon
1762,https://quizizz.com/admin/quiz/5dd4848a178748001b046649/exit-slip-logical-fallacies,5.11 exit slip - logical fallacies,6th grade,bandwagon,"Everyone who is really into gaming already owns the latest video game. Don't be the only one left out!

Which logical fallacy is being used in the passage?",ad populum,bandwagon
1800,https://quizizz.com/admin/quiz/58dcf493b907d2d254cf10e4/logical-fallacies-gr,Logical Fallacies (GR8),6th - 8th grade,Bandwagon,"Cathy is opposed to social media because she would rather have a face-to-face conversation. However, more and more of Cathy's friends have joined social media sites, so Cathy feels like she needs to create an account as well.",ad populum,bandwagon
2089,https://quizizz.com/admin/quiz/5e208950881f96001b246eab/logical-fallacies,Logical Fallacies,8th grade,Bandwagon Appeal,"Marcus wants to go to a small community college close to home, but most of the kids in his class are applying to larger colleges out of state. Marcus decides that he should also apply to those colleges.",ad populum,bandwagon
1944,https://quizizz.com/admin/quiz/5e4323688e3d7c001cdc45a6/logical-fallacies,Logical Fallacies,9th - University,bandwagon,Appealing to popularity or the fact that many people do something as an attempted form of validation.,ad populum,bandwagon
2026,https://quizizz.com/admin/quiz/5be322bc89dc71001ee54c1c/logical-fallacies-practice,Logical Fallacies Practice,8th grade,Bandwagon,America has to act now to reduce illegal immigration. Recent studies show that the vast majority of Americans think that illegal immigration is a problem.,ad populum,bandwagon
2038,https://quizizz.com/admin/quiz/5d1a36b8d9aab0001bcb4487/logical-fallacies,Logical Fallacies 101,8th - 9th grade,Bandwagon effect,"In the court trial deliberations, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is:",ad populum,bandwagon
2041,https://quizizz.com/admin/quiz/5d1a36b8d9aab0001bcb4487/logical-fallacies,Logical Fallacies 101,8th - 9th grade,Bandwagon effect,"In Act 1, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is:",ad populum,bandwagon
2060,https://quizizz.com/admin/quiz/5e3d6e7a8d479c001bcdfe4d/logical-fallacies-rhetorical-devices,Logical Fallacies & Rhetorical Devices,8th grade,Bandwagon,"If everyone believes it, you should too!",ad populum,bandwagon
2094,https://quizizz.com/admin/quiz/5e208950881f96001b246eab/logical-fallacies,Logical Fallacies,8th grade,Bandwagon Appeal,Everyone is doing the Low-Carb Diet.,ad populum,bandwagon
40543,https://quizizz.com/admin/quiz/5c0121809405e7001b03a9a3/understanding-fallacies,Understanding Fallacies,8th - 10th grade,bandwagon,This happens when you assume that something is acceptable just because it is very common.,ad populum,bandwagon
2236,https://quizizz.com/admin/quiz/5f9ffe71a53b3b001b326d0f/argument-rhetoric-and-logical-fallacies-pre-test,"Argument, Rhetoric, and Logical Fallacies Pre-Test",9th - 12th grade,Ad Populum,"This is an emotional appeal that speaks the concept that many people agree or disagree, so you should, too",ad populum,ad populum
2264,https://quizizz.com/admin/quiz/605a2838960a72001b01c652/logical-fallacies-quiz,Logical Fallacies 101 Quiz,10th grade,ad populum,"An influencer posts on Instagram that the restaurant ""EP is poppin'! Everyone worth knowing is here tonight - come on down!"" -- this is an example of:",ad populum,ad populum
2304,https://quizizz.com/admin/quiz/604262ba8a546c001b3112ac/argumentative-and-logical-fallacies,Argumentative and Logical Fallacies,8th grade,Bandwagon,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool.""",ad populum,bandwagon
46643,https://quizizz.com/admin/quiz/5f769795899c3f001cce9a5a/philo-quiz-week-fallacy,Philo- Quiz-Week 3-Fallacy,University,Bandwagon,"""Chick fil A is the greatest food chain in existence. Look at the crowds!""",ad populum,ad populum; appeal to popularity; bandwagon
46636,https://quizizz.com/admin/quiz/5f769795899c3f001cce9a5a/philo-quiz-week-fallacy,Philo- Quiz-Week 3-Fallacy,University,Bandwagon,40 million people can't be wrong! Buy the new Iphone XIV today!,ad populum,bandwagon
2494,https://quizizz.com/admin/quiz/5a60fe19a8a33253124342cb/rhetorical-devices-and-fallacies,Rhetorical Devices and Fallacies,6th - 12th grade,bandwagon,"Makes people feel as though everyone is doing it, so they should too.",ad populum,bandwagon
43155,https://quizizz.com/admin/quiz/6013f8a0f50efb001ba7d0b4/logical-fallacies,Logical Fallacies,8th grade,bandwagon,"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true."" represents which fallacy?",ad populum,bandwagon
2586,https://quizizz.com/admin/quiz/600a16eae0ec11001c2283fb/logical-fallacies-practice,7-8 Logical Fallacies Practice,12th grade,Bandwagon / Ad Populum,"If you had school pride like the rest of us do, you would wear a mountain lion costume every day.",ad populum,ad populum; bandwagon
38884,https://quizizz.com/admin/quiz/59ee4d6060cbf71000156fa1/rhetorical-fallacies,Rhetorical Fallacies,5th - 7th grade,bandwagon ,Doing something because everyone else is doing it,ad populum,bandwagon
42908,https://quizizz.com/admin/quiz/5f5eb6911fc223001bc34b31/logical-fallacies,Logical Fallacies,12th grade,bandwagon,Everyone is buying the new iPhone that’s coming out this weekend. You have to buy it too,ad populum,bandwagon
2859,https://quizizz.com/admin/quiz/5f948dcbedafcd001e0c5506/logical-fallacies,Logical Fallacies,10th grade,bandwagon,A commercial shows a group of friends all hanging out wearing clothes from a popular clothing company. This is an example of,ad populum,bandwagon
2897,https://quizizz.com/admin/quiz/60560434e10317001e4ec2f4/logical-fallacies,Logical Fallacies,9th - 12th grade,Bandwagon Appeal,"I am voting for Smith for President. My whole family is Democrat, so I'll be voting that way, too.",ad populum,bandwagon
2908,https://quizizz.com/admin/quiz/60560434e10317001e4ec2f4/logical-fallacies,Logical Fallacies,9th - 12th grade,The Bandwagon Fallacy,"The phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King, so we can confidently say we are the best."" represents which fallacy?",ad populum,bandwagon
2919,https://quizizz.com/admin/quiz/60560434e10317001e4ec2f4/logical-fallacies,Logical Fallacies,9th - 12th grade,Bandwagon,"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.",ad populum,bandwagon
3056,https://quizizz.com/admin/quiz/607efb0333545d001c951651/types-of-logical-fallacies,Types of Logical Fallacies,9th - 12th grade,Bandwagon,You appealed to popularity or the fact that many people do something as an attempted form of validation.,ad populum,bandwagon
3666,https://quizizz.com/admin/quiz/5f4ef49af4fc7d001bb62ccb/nonfiction-basic-persuasive-devices-review,Nonfiction - Basic Persuasive Devices Review,10th - 12th grade,Ad populum,", or a group of people think, in order to persuade one to think the same way.",ad populum,ad populum; bandwagon
3270,https://quizizz.com/admin/quiz/5fd79a1feb9b65001b6de52a/ap-q-rhetorical-fallacies,AP Q2 Rhetorical fallacies,11th grade,bandwagon,"A fallacy which assumes that because something is popular, it is therefore good, correct, or desirable.",ad populum,bandwagon
3303,https://quizizz.com/admin/quiz/5fd79a1feb9b65001b6de52a/ap-q-rhetorical-fallacies,AP Q2 Rhetorical fallacies,11th grade,bandwagon,"“McDonald’s has served 100 billion people in the world. It must be the best fast food restaurant in the world"" is an example of",ad populum,bandwagon
3814,https://quizizz.com/admin/quiz/58ee7ef2f594a8e768780149/rhetorical-fallacies,Rhetorical Fallacies,9th - 12th grade,Bandwagon,"""Since 88% of people polled believe in UFOs, they must exist.”",ad populum,bandwagon
3575,https://quizizz.com/admin/quiz/5da9e081053807001aa9c382/logical-fallacies,Logical Fallacies,9th - 12th grade,ad populum,"""Everybody is late coming back from lunch, so it shouldn't matter if I'm late.""",ad populum,ad populum
3577,https://quizizz.com/admin/quiz/5da9e081053807001aa9c382/logical-fallacies,Logical Fallacies,9th - 12th grade,ad populum,Everyone wants the iPhone 11 because it's the best phone on the market!,ad populum,ad populum
40765,https://quizizz.com/admin/quiz/606f2b6b47ee6d001bc7e98c/logical-fallacy,logical fallacy,9th grade,bandwagon appeal,God must exist because every culture has some sort of belief in a higher being.,ad populum,bandwagon
4445,https://quizizz.com/admin/quiz/5d90f216d258e4001a11c33c/fun-with-fallacies,Fun? With Fallacies,11th grade,Bandwagon,"Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.",ad populum,bandwagon
5036,https://quizizz.com/admin/quiz/59ba736940c40f1100e9635b/propaganda-and-animal-farm,propaganda and animal farm,9th - University grade,bandwagon,"Television Advertisement: Rush to shop at Super-Mart this weekend, everyone is doing it!",ad populum,bandwagon
5048,https://quizizz.com/admin/quiz/59ba736940c40f1100e9635b/propaganda-and-animal-farm,propaganda and animal farm,9th - University grade,Bandwagon,Everyone being referred to as comrade.,ad populum,bandwagon
38750,https://quizizz.com/admin/quiz/580f92d256bd584f78ed14e0/animal-farm-propaganda,Animal Farm Propaganda,8th grade,Bandwagon,Old Major's speech claiming that ALL the animals will unite and revolt against the humans,ad populum,bandwagon
5055,https://quizizz.com/admin/quiz/59ba736940c40f1100e9635b/propaganda-and-animal-farm,propaganda and animal farm,9th - University grade,bandwagon ,"""Four legs good, two legs bad""",ad populum,bandwagon
5150,https://quizizz.com/admin/quiz/5c5848c4f40b79001b074eba/th-grade-persuasive-text-academic-vocabulary,6th Grade Persuasive Text Academic Vocabulary,6th grade,Bandwagon,"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum,bandwagon
5166,https://quizizz.com/admin/quiz/5fca3d64c3dcff001be548a3/module-review-game,Module 8 Review Game,9th grade,Bandwagon,", that it must be true",ad populum,bandwagon
5216,https://quizizz.com/admin/quiz/5e418ae90e0c7d001b8749e9/logical-fallacy,Logical Fallacy,10th grade,Appeal to the people,"Argues that because something is popular, it must be right.",ad populum,appeal to the people
5228,https://quizizz.com/admin/quiz/5e418ae90e0c7d001b8749e9/logical-fallacy,Logical Fallacy,10th grade,Appeal to the people,This movie was #1 at the box office last weekend! That means it must be really good!,ad populum,appeal to the people
6666,https://quizizz.com/admin/quiz/5db978973e3b40001ac3ffe3/persuasive-techniques-practice,Persuasive Techniques Practice,9th - 12th grade,Bandwagon,"“Everyone else is doing it, so should you”.",ad populum,bandwagon
6670,https://quizizz.com/admin/quiz/5db978973e3b40001ac3ffe3/persuasive-techniques-practice,Persuasive Techniques Practice,9th - 12th grade,Bandwagon,The Royals are promoting their team for the next season by telling people to come join the team because everyone else has.,ad populum,bandwagon
27562,https://quizizz.com/admin/quiz/5c19273792d4d2001b889de3/ap-chapter-sem-final,AP Chapter 3 Sem. 1 Final 2018,11th - 12th grade,bandwagon,"""You should run right out and purchase the newest iPhone 22 because you will literally be the only one who doesn't own one!"" This is an example of what type of persuasive technique?",ad populum,bandwagon
7221,https://quizizz.com/admin/quiz/5c3fedfb7e72ee001a76fce6/persuasive-text-quiz,PERSUASIVE TEXT QUIZ,7th - 8th grade,bandwagon,See the movie that everybody's talking about,ad populum,bandwagon
41006,https://quizizz.com/admin/quiz/5a71115d28be22001ce11b57/logical-fallacy-practice,Logical Fallacy Practice,9th - 10th grade,Bandwagon,Get Verizon--1 billion people can't be wrong.,ad populum,bandwagon
8103,https://quizizz.com/admin/quiz/59a6eeb42d7ac51000a61ce7/persuasive-essays,Persuasive essays,8th - University grade,Bandwagon,"""Everyone is wearing the new skinny jeans from American Eagle. Are you?""",ad populum,bandwagon
8114,https://quizizz.com/admin/quiz/5e275b1feb5a10001cb9757d/argumentative-vocabulary,Argumentative Vocabulary,8th - University,bandwagon,"""everyone is doing it"" mentality",ad populum,bandwagon
38911,https://quizizz.com/admin/quiz/5c3fa485496da9001b98b7d7/advertising-techniques,Advertising Techniques,6th grade,Bandwagon,"Makes the claim that EVERYONE is using this product, and you should, too.",ad populum,bandwagon
25041,https://quizizz.com/admin/quiz/5d5403d1d92c5b001ac82132/literary-terms-review,Literary Terms Review,8th - 9th grade,Bandwagon,"Tries to persuade the reader to do, think or buy something because it is popular or because ""everyone"" is doing it.",ad populum,bandwagon
30183,https://quizizz.com/admin/quiz/5f6c215473a960001b4b0054/philosophy-ct-unit-mc-practice,Philosophy&CT Unit 2 MC Practice,11th - 12th grade,Appeal to the people,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",ad populum,appeal to the people
37155,https://quizizz.com/admin/quiz/5550fefe05e4a1f4061f5110/english-iii-semester-review,English III Semester 2 Review,11th grade,bandwagon reasoning,", if everyone else is doing something, it must be right/good.",ad populum,bandwagon
38295,https://quizizz.com/admin/quiz/610b247eaba1ad001c963c21/detective-fallacy,Detective Fallacy 2.0,11th grade,Bandwagon Appeal,"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum,bandwagon
38355,https://quizizz.com/admin/quiz/5d7061e8154c4d001a5ae7b1/test-your-fallacies,Test your Fallacies,11th - University,Bandwagon,All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.,ad populum,bandwagon
41020,https://quizizz.com/admin/quiz/6075e4814937a3001e0c1514/logical-fallacy-review,Logical Fallacy Review,6th grade,Bandwagon,", that makes it right/valid.",ad populum,bandwagon
38444,https://quizizz.com/admin/quiz/5afbba52bb114c001c2d4e43/logical-fallacy-quiz,5/16 Logical Fallacy Quiz,10th - 12th grade,Bandwagon,"""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!""",ad populum,bandwagon
38468,https://quizizz.com/admin/quiz/5c9cbe550426fd001f483e9a/animal-farm-political-fallacies-test,Animal Farm Political Fallacies' Test,6th - 12th grade,"ad populum (bandwagon appeal) fallacy
a las personas (la apelación carro)","when evidence boils down to ""everybody's doing it, so it must be a good thing to do

""cuando la evidencia se reduce a ""todo el mundo lo está haciendo, por lo que debe ser algo bueno""",ad populum,ad populum; bandwagon
38476,https://quizizz.com/admin/quiz/603953ffd7ad25001f3d5f0f/propoganda-and-logical-fallacy,Propoganda and Logical Fallacy,6th - 8th grade,bandwagoning,Arguing based on whether something is popular,ad populum,bandwagon
38482,https://quizizz.com/admin/quiz/5a05ecb886b23c10009a2c1b/fallacies,Fallacies,8th grade,Bandwagon,I guess I should buy my 12-year-old daughter an iPhone.  Everyone at her new school has one and I want her to fit in with the other kids.,ad populum,bandwagon
43469,https://quizizz.com/admin/quiz/5facd45ea2df0f001bd29f8f/fallacies-and-research,Fallacies and research,University,bandwagon,"The majority of people believe advertisers should spend more money on billboards, so billboards are objectively the best form of advertisement.",ad populum,bandwagon
38836,https://quizizz.com/admin/quiz/5dfa3507a2918c001b19927c/rhetorical-fallacies-practice,Rhetorical Fallacies Practice,9th - 12th grade,bandwagon fallacy: the assumption that the popular choice is always correct,"An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals.",ad populum,bandwagon
38842,https://quizizz.com/admin/quiz/5dfa3507a2918c001b19927c/rhetorical-fallacies-practice,Rhetorical Fallacies Practice,9th - 12th grade,bandwagon fallacy: the assumption that the popular choice is automatically correct,"Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you.",ad populum,bandwagon
